,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Karratha,0,AU,1547964988,25,-20.74,116.85,40.89,4.26
1,Halden,88,SE,1547963400,92,59.12,11.39,-5.0,2.1
2,Jamestown,0,AU,1547964927,82,-33.21,138.6,25.19,2.41
3,Ilhabela,0,BR,1547965023,97,-23.78,-45.36,27.54,3.46
4,Castro,0,CL,1547960400,100,-42.48,-73.76,11.0,1.5
5,Punta Arenas,20,CL,1547964000,61,-53.16,-70.91,8.0,6.2
6,Wewak,92,PG,1547965023,95,-3.55,143.63,26.04,0.86
7,Port Augusta,0,AU,1547964000,40,-32.49,137.76,30.0,7.7
8,Rodino,56,RU,1547965246,93,52.5,80.2,-3.01,5.61
9,Dingle,92,PH,1547965004,98,11.0,122.67,23.99,5.06
10,Ushuaia,75,AR,1547964000,65,-54.81,-68.31,7.0,9.8
11,Celestun,56,MX,1547964934,100,20.87,-90.4,22.74,13.56
12,Rafaela,48,AR,1547965247,88,-31.25,-61.49,14.39,1.46
13,Saskylakh,76,RU,1547964984,89,71.97,114.09,-29.31,4.71
14,Riobamba,100,EC,1547965248,89,-1.67,-78.65,8.04,0.86
15,Kavaratti,0,IN,1547965009,100,10.57,72.64,27.54,1.21
16,Wasilla,1,US,1547963880,82,61.58,-149.44,-13.9,1.61
17,Nuevo Casas Grandes,0,MX,1547965249,77,30.42,-107.91,-2.31,1.26
18,Khatanga,64,RU,1547964961,77,71.98,102.47,-24.56,3.11
19,Le Port,88,FR,1547965085,94,42.87,1.37,-4.11,0.31
20,Aklavik,90,CA,1547960400,76,68.22,-135.01,-21.0,1.0
21,Cape Town,0,ZA,1547964000,52,-33.93,18.42,18.0,1.0
22,Upernavik,56,GL,1547964995,100,72.79,-56.15,-22.51,4.31
23,Tiksi,36,RU,1547964922,0,71.64,128.87,-42.11,1.21
24,Camacupa,56,AO,1547965251,87,-12.02,17.48,17.69,2.91
25,Caravelas,88,BR,1547964811,100,-17.73,-39.27,27.09,7.16
26,Bredasdorp,24,ZA,1547964000,49,-34.53,20.04,20.0,5.1
27,Santiago,0,CL,1547964000,77,-33.44,-70.65,15.0,3.6
28,Bluff,0,AU,1547964644,31,-23.58,149.07,34.59,6.61
29,Vao,80,EE,1547964923,83,59.1,26.19,-4.86,7.71
30,Neuruppin,0,DE,1547963400,85,52.92,12.81,-4.0,1.0
31,Gat,8,SN,1547962200,35,14.69,-16.54,17.0,5.7
32,Mar del Plata,0,AR,1547964948,37,-46.43,-67.52,21.69,8.26
33,Isangel,92,VU,1547965070,100,-19.55,169.27,26.04,9.16
34,Lazaro Cardenas,0,MX,1547965015,61,28.39,-105.62,-0.11,1.26
35,Yali,8,NG,1547965254,58,10.52,9.86,12.89,1.11
36,Rikitea,92,PF,1547964931,99,-23.12,-134.97,26.79,6.06
37,Cidreira,76,BR,1547964922,95,-30.17,-50.22,20.99,4.56
38,College,90,US,1547964240,83,64.86,-147.8,-17.8,1.36
39,Manado,20,ID,1547962200,58,1.49,124.85,31.0,5.1
40,Palana,32,RU,1547965255,72,59.08,159.95,-2.16,5.11
41,Itoman,75,JP,1547964000,68,26.12,127.67,20.0,10.3
42,Nikolskoye,20,RU,1547962200,85,59.7,30.79,-4.0,5.0
43,Coquimbo,0,CL,1547964000,93,-29.95,-71.34,14.0,2.1
44,Praia da Vitoria,20,PT,1547960400,87,38.73,-27.07,13.0,3.26
45,Vaini,0,IN,1547960400,41,15.34,74.49,25.0,4.1
46,Sao Joao da Barra,0,BR,1547965107,96,-21.64,-41.05,27.14,13.36
47,Kieta,80,PG,1547964941,95,-6.22,155.63,27.69,5.06
48,Bartica,24,GY,1547965258,93,6.41,-58.62,22.69,1.86
49,Rocha,12,UY,1547965026,84,-34.48,-54.34,13.74,2.11
50,Vila Velha,40,BR,1547964000,94,-3.71,-38.6,25.0,1.0
51,Ponta do Sol,32,BR,1547965004,94,-20.63,-46.0,18.39,1.76
52,Kapaa,20,US,1547964000,78,22.08,-159.32,23.3,5.7
53,Richards Bay,92,ZA,1547965038,94,-28.77,32.06,19.49,5.36
54,Dikson,76,RU,1547964976,100,73.51,80.55,-14.11,2.66
55,Katsuura,75,JP,1547964000,76,33.93,134.5,12.0,9.3
56,Albany,90,US,1547963640,79,42.65,-73.75,-4.4,1.5
57,Sungaipenuh,56,ID,1547965261,92,-2.08,101.38,21.84,0.41
58,Mataura,100,NZ,1547964957,96,-46.19,168.86,12.34,10.76
59,Mad,75,SK,1547964000,86,47.95,17.66,-1.0,2.6
60,Atuona,80,PF,1547964963,100,-9.8,-139.03,26.99,6.81
61,Souillac,68,FR,1547962200,100,45.6,-0.6,6.0,1.51
62,Sitka,0,US,1547964931,71,37.17,-99.65,-10.16,1.36
63,Saint George,40,GR,1547963400,100,39.45,22.34,4.0,1.16
64,Limoux,90,FR,1547962200,81,43.05,2.22,6.0,2.1
65,Kaitangata,64,NZ,1547964878,85,-46.28,169.85,13.64,11.46
66,Severo-Kurilsk,88,RU,1547965052,95,50.68,156.12,0.69,5.46
67,Amapa,20,HN,1547964000,94,15.09,-87.97,22.0,0.91
68,Yar-Sale,0,RU,1547965264,72,66.83,70.83,-21.11,2.16
69,Villa Union,12,BO,1547965264,94,-10.79,-65.46,24.49,1.61
70,Thompson,5,CA,1547960400,73,55.74,-97.86,-36.0,2.21
71,Gaya,0,IN,1547964000,49,24.8,85.01,21.0,6.2
72,Ferme-Neuve,76,CA,1547965265,69,46.7,-75.45,-23.41,2.31
73,Rawson,0,AR,1547965013,19,-43.3,-65.11,25.69,5.66
74,Hami,0,CN,1547965001,80,42.84,93.51,-2.66,0.96
75,Anadyr,40,RU,1547964000,76,64.73,177.51,-24.0,6.0
76,Suba,92,CN,1547965267,74,28.73,103.51,6.74,1.16
77,Yongan,0,CN,1547965267,37,39.7,113.69,-6.11,2.11
78,Pombia,0,IT,1547963400,100,45.65,8.63,-2.0,2.1
79,Mizdah,0,LY,1547965268,68,31.45,12.98,-2.11,1.66
80,Deputatskiy,0,RU,1547965080,0,69.3,139.9,-52.36,1.16
81,Carnarvon,0,ZA,1547964957,42,-30.97,22.13,13.39,4.21
82,Te Anau,92,NZ,1547964909,95,-45.41,167.72,10.64,5.96
83,Puerto El Triunfo,0,SV,1547963400,94,13.27,-88.55,21.0,1.5
84,Arraial do Cabo,48,BR,1547964955,91,-22.97,-42.02,24.74,6.06
85,Tasiilaq,20,GL,1547963400,73,65.61,-37.64,-6.0,2.1
86,Ginir,0,ET,1547965270,22,7.14,40.71,21.34,1.61
87,Saint-Philippe,90,CA,1547963700,80,45.36,-73.48,-21.0,5.56
88,Lagoa,20,PT,1547962200,82,37.14,-8.45,13.0,6.7
89,Port Lincoln,24,AU,1547965148,71,-34.72,135.86,23.39,5.71
90,Kodiak,1,US,1547963700,50,39.95,-94.76,-12.8,2.1
